ticker,name,sector,board
HAJJ,Arsy Buana Travelindo Tbk.,Barang Konsumen Non-Primer,Acceleration
HALO,Haloni Jane Tbk.,Kesehatan,Development
HATM,Habco Trans Maritima Tbk.,Transportasi & Logistik,Main
HBAT,Minahasa Membangun Hebat Tbk.,Properti & Real Estat,Acceleration
HDFA,Radana Bhaskara Finance Tbk.,Keuangan,Development
HDIT,Hensel Davest Indonesia Tbk.,Teknologi,Main
HEAL,Medikaloka Hermina Tbk.,Kesehatan,Main
HELI,Jaya Trishindo Tbk.,Transportasi & Logistik,Development
HERO,DFI Retail Nusantara Tbk.,Barang Konsumen Primer,Main
HEXA,Hexindo Adiperkasa Tbk.,Perindustrian,Main
HGII,Hero Global Investment Tbk.,Infrastruktur,Development
HILL,Hillcon Tbk.,Energi,Watchlist
HITS,Humpuss Intermoda Transportasi,Energi,Watchlist
HKMU,HK Metals Utama Tbk.,Barang Baku,Watchlist
HMSP,H.M. Sampoerna Tbk.,Barang Konsumen Primer,Main
HOKI,Buyung Poetra Sembada Tbk.,Barang Konsumen Primer,Development
HOME,Hotel Mandarine Regency Tbk.,Barang Konsumen Non-Primer,Watchlist
HOMI,Grand House Mulia Tbk.,Properti & Real Estat,Development
HOPE,Harapan Duta Pertiwi Tbk.,Perindustrian,Development
HOTL,Saraswati Griya Lestari Tbk.,Barang Konsumen Non-Primer,Watchlist
HRME,Menteng Heritage Realty Tbk.,Barang Konsumen Non-Primer,Watchlist
HRTA,Hartadinata Abadi Tbk.,Barang Konsumen Non-Primer,Main
HRUM,Harum Energy Tbk.,Energi,Main
HUMI,Humpuss Maritim Internasional,Energi,Development
HYGN,Ecocare Indo Pasifik Tbk.,Perindustrian,Development
IATA,Karya Pacific Energy Tbk.,Energi,Development
IBFN,Intan Baru Prana Tbk.,Perindustrian,Watchlist
IBOS,Indo Boga Sukses Tbk.,Barang Konsumen Primer,Acceleration
IBST,Inti Bangun Sejahtera Tbk.,Infrastruktur,Watchlist
ICBP,Indofood CBP Sukses Makmur Tbk,Barang Konsumen Primer,Main
ICON,Island Concepts Indonesia Tbk.,Perindustrian,Development
IDEA,Idea Indonesia Akademi Tbk.,Barang Konsumen Non-Primer,Acceleration
IDPR,Indonesia Pondasi Raya Tbk.,Infrastruktur,Development
IFII,Indonesia Fibreboard Industry,Barang Baku,Development
IFSH,Ifishdeco Tbk.,Barang Baku,Watchlist
IGAR,Champion Pacific Indonesia Tbk,Barang Baku,Development
IIKP,Inti Agri Resources Tbk,Barang Konsumen Non-Primer,Watchlist
IKAI,Intikeramik Alamasri Industri,Perindustrian,Watchlist
IKAN,Era Mandiri Cemerlang Tbk.,Barang Konsumen Primer,Development
IKBI,Sumi Indo Kabel Tbk.,Perindustrian,Development
IKPM,Ikapharmindo Putramas Tbk.,Kesehatan,Development
IMAS,Indomobil Sukses Internasional,Barang Konsumen Non-Primer,Main
IMJS,Indomobil Multi Jasa Tbk.,Transportasi & Logistik,Development
IMPC,Impack Pratama Industri Tbk.,Perindustrian,Main
INAF,Indofarma Tbk.,Kesehatan,Watchlist
INAI,Indal Aluminium Industry Tbk.,Barang Baku,Development
INCF,Indo Komoditi Korpora Tbk.,Barang Baku,Development
INCI,Intanwijaya Internasional Tbk,Barang Baku,Development
INCO,Vale Indonesia Tbk.,Barang Baku,Main
